id,latitude,longitude,price_per_unit_area,dist_to_mrt_m,cluster_kmeans,cluster_dbscan,distance_band
1,24.98298,121.54024,37.9,84.87882,1,0,0-250m
2,24.98034,121.53951,42.2,306.5947,1,0,250-500m
3,24.98746,121.54391,47.3,561.9845,1,0,500m-1km
4,24.98746,121.54391,54.8,561.9845,1,0,500m-1km
5,24.97937,121.54245,43.1,390.5684,1,0,250-500m
6,24.96305,121.51254,32.1,2175.03,3,1,2-4km
7,24.97933,121.53642,40.3,623.4731,1,0,500m-1km
8,24.98042,121.54228,46.7,287.6025,1,0,250-500m
9,24.95095,121.48458,18.8,5512.038,0,-1,4km+
10,24.96731,121.51486,22.1,1783.18,3,1,1-2km
11,24.97349,121.53372,41.4,405.2134,1,0,250-500m
12,24.97433,121.5431,58.1,90.45606,2,0,0-250m
13,24.96515,121.53737,39.3,492.2313,2,0,250-500m
14,24.96108,121.51046,23.8,2469.645,3,1,2-4km
15,24.99156,121.53406,34.3,1164.838,1,2,1-2km
16,24.9824,121.54619,50.5,579.2083,1,0,500m-1km
17,24.97744,121.54458,70.1,292.9978,1,0,250-500m
18,24.97544,121.53119,37.4,350.8515,1,0,250-500m
19,24.9675,121.54451,42.3,368.1363,2,0,250-500m
20,24.96772,121.54102,47.7,23.38284,2,0,0-250m
21,24.96314,121.51151,29.3,2275.877,3,1,2-4km
22,24.97528,121.54541,51.6,279.1726,2,0,250-500m
23,24.95204,121.54842,24.6,1360.139,4,3,1-2km
24,24.97528,121.54541,47.9,279.1726,2,0,250-500m
25,24.97353,121.53885,38.8,480.6977,2,0,250-500m
26,24.97542,121.51726,27.0,1487.868,3,1,1-2km
27,24.98085,121.54391,56.2,383.8624,1,0,250-500m
28,24.95593,121.53913,33.6,276.449,4,0,250-500m
29,24.97419,121.53797,47.0,557.478,2,0,500m-1km
30,24.97563,121.54694,57.1,451.2438,2,0,250-500m
31,24.94826,121.49587,22.1,4519.69,0,4,4km+
32,24.98281,121.53408,25.0,769.4034,1,0,500m-1km
33,24.97349,121.53451,34.2,488.5727,2,0,250-500m
34,24.97841,121.54281,49.3,323.655,1,0,250-500m
35,24.98419,121.54243,55.1,205.367,1,0,0-250m
36,25.01459,121.51816,27.3,4079.418,1,-1,4km+
37,24.96386,121.51458,22.9,1935.009,3,1,1-2km
38,24.95204,121.54842,25.3,1360.139,4,3,1-2km
39,24.97201,121.54722,47.7,577.9615,2,0,500m-1km
40,24.98203,121.54348,46.2,289.3248,1,0,250-500m
41,24.94155,121.50381,15.9,4082.015,0,5,4km+
42,24.94297,121.50342,18.2,4066.587,0,5,4km+
43,24.96305,121.53758,34.7,519.4617,2,0,500m-1km
44,24.98748,121.54301,34.1,512.7871,1,0,500m-1km
45,24.97445,121.54765,53.9,533.4762,2,0,500m-1km
46,24.97015,121.54494,38.3,488.8193,2,0,250-500m
47,24.9703,121.54458,42.0,463.9623,2,0,250-500m
48,24.97563,121.53715,61.5,640.7391,1,0,500m-1km
49,24.94684,121.49578,13.4,4605.749,0,4,4km+
50,24.94925,121.49542,13.2,4510.359,0,4,4km+
51,24.974,121.53842,44.2,512.5487,2,0,500m-1km
52,24.95402,121.55282,20.7,1758.406,4,3,1-2km
53,24.97419,121.5175,27.0,1438.579,3,1,1-2km
54,24.96515,121.53737,38.9,492.2313,2,0,250-500m
55,24.98203,121.54348,51.7,289.3248,1,0,250-500m
56,24.94968,121.53009,13.7,1160.632,4,6,1-2km
57,24.97254,121.54059,41.9,371.2495,2,0,250-500m
58,24.95744,121.53711,53.5,56.47425,4,0,0-250m
59,24.94925,121.49542,22.6,4510.359,0,4,4km+
60,24.95776,121.53438,42.4,336.0532,4,0,250-500m
61,24.96365,121.51471,21.3,1931.207,3,1,1-2km
62,24.97585,121.54516,63.2,259.6607,2,0,250-500m
63,24.96303,121.51254,27.7,2175.877,3,1,2-4km
64,24.97445,121.54765,55.0,533.4762,2,0,500m-1km
65,24.96305,121.54915,25.3,995.7554,2,7,500m-1km
66,24.97635,121.54329,44.3,123.7429,2,0,0-250m
67,24.96571,121.54089,50.7,193.5845,2,0,0-250m
68,24.96674,121.54067,56.8,104.8101,2,0,0-250m
69,24.97964,121.53805,36.2,464.223,1,0,250-500m
70,24.98746,121.54391,42.0,561.9845,1,0,500m-1km
71,24.97433,121.5431,59.0,90.45606,2,0,0-250m
72,24.97563,121.53715,40.8,640.7391,1,0,500m-1km
73,24.97587,121.53913,36.3,424.5442,1,0,250-500m
74,24.94155,121.50381,20.0,4082.015,0,5,4km+
75,24.98343,121.53762,54.4,379.5575,1,0,250-500m
76,24.95204,121.54842,29.5,1360.139,4,3,1-2km
77,24.97723,121.53767,36.8,616.4004,1,0,500m-1km
78,24.96322,121.51237,25.6,2185.128,3,1,2-4km
79,24.97598,121.53381,29.8,552.4371,1,0,500m-1km
80,24.95182,121.54887,26.5,1414.837,4,3,1-2km
81,24.97445,121.54765,40.3,533.4762,2,0,500m-1km
82,24.96427,121.53964,36.8,377.7956,2,0,250-500m
83,24.96725,121.54252,48.1,150.9347,2,0,0-250m
84,24.96056,121.50831,17.7,2707.392,3,1,2-4km
85,24.96735,121.54464,43.7,383.2805,2,0,250-500m
